Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
AARTIIND,10,0,871.75,8717.5,8717.5,0,0.9
BANKINDIA,20,81.65,77.9,1558,-75,-4.59,-1.08
GOLDBEES,4,40.87,40.52,162.08,-1.4,-0.86,-0.54
HAPPSTMNDS,10,905.27,1004.1,10041,988.3,10.92,5.83
HSCL,10,52.05,57.05,570.5,50,9.61,-3.39
IOC,20,113.18,107.9,2158,-105.5,-4.66,-0.23
IRCON,20,47.65,48.8,976,23,2.41,1.77
MOTHERSUMI,33,243.35,242.1,7989.3,-41.3,-0.51,2.3
NIFTYBEES,2,168.49,169.13,338.26,1.28,0.38,-0.12
PNB,10,41.5,42.3,423,8,1.93,-1.74
POLYPLEX,6,1125,1384.5,8307,1557,23.07,4.59
SPICEJET,25,77.6,81,2025,85,4.38,-1.52
UNIONBANK,35,36.14,38.55,1349.25,84.5,6.68,-1.66
